tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,timestamp
32,8,64,512,128,16,2,1,64,2,2147483648.0,833356
4,8,32,64,4,16,8,32,8,512,67.02387237548828,834585
16,8,16,64,16,8,32,4,256,1024,8.428544044494629,836636
8,1,4,4,32,8,4,64,8,128,527.0814819335938,838455
8,8,16,32,32,128,4,64,128,512,3.146752119064331,840045
4,2,8,8,64,128,1,16,32,128,12.543999671936035,843281
32,2,32,128,32,4,8,8,1024,64,3.458048105239868,845475
16,1,8,8,32,128,4,16,1024,1024,1.3578239679336548,847271
256,1,4,16,512,4,16,64,64,1024,128.63487243652344,849900
16,64,64,128,32,2,32,16,64,64,2147483648.0,861192
8,2,64,32,32,32,2,1,1024,1024,9.966591835021973,869212
128,2,4,16,128,4,2,16,256,32,391.1280517578125,871242
4,32,256,1024,8,16,1,8,2,16,524.3658447265625,873784
4,2,256,8,16,2,64,4,64,128,466.05413818359375,876960
16,1,16,32,256,2,1,512,2,1024,252.7948760986328,880367
64,2,16,4,64,8,1,4,2,128,50.62451171875,882634
16,64,128,8,32,16,64,16,1024,16,2147483648.0,893933
4,4,16,16,8,8,2,2,256,2,22.88230323791504,896435
16,1,128,32,64,1,2,1,64,4,2147483648.0,912326
16,8,16,8,16,8,4,32,4,64,690.24560546875,914389
64,8,64,128,64,8,256,2,512,8,1209.6727294921875,924322
16,4,8,128,16,32,2,8,32,16,71.74143981933594,925894
4,128,128,16,32,2,8,32,32,512,193.10592651367188,930599
128,4,64,32,128,8,32,32,256,128,225.6721954345703,933340
8,8,256,4,8,8,32,16,128,1024,94.54386901855467,934689
64,8,8,128,128,16,1,4,64,512,202.2492218017578,945387
64,2,8,32,128,4,4,4,4,64,49.889278411865234,947369
16,1,256,8,16,8,1,1,4,64,2147483648.0,964230
4,2,32,4,4,16,8,64,32,64,207.05075073242188,965622
8,4,8,4,32,128,2,32,32,32,67.12422180175781,966980
8,1,128,256,64,4,8,2,32,16,16.75775909423828,973947
4,64,128,4,16,64,4,4,128,8,64.56832122802734,976327
4,8,16,8,4,32,16,4,16,8,2254.78564453125,979674
8,1,32,64,32,128,1,4,2,64,168.47564697265625,982661
16,32,128,256,32,16,1,64,1024,1024,2147483648.0,993978
256,4,8,8,1024,2,8,8,256,1024,248.96307373046875,1004680
8,16,64,16,32,8,4,8,32,256,2.75763201713562,1006891
32,2,16,8,32,4,8,2,16,4,1608.099853515625,1010465
4,1,512,64,8,8,16,64,16,256,133.76101684570312,1011720
16,4,128,512,64,8,1,64,32,1024,2.6664960384368896,1014372
32,4,16,128,128,64,1,2,16,1024,52.8455696105957,1023006
4,2,32,16,64,32,2,1,512,2,100.77490997314452,1031983
8,2,64,512,8,128,1,128,32,128,15.227904319763184,1034201
4,16,32,512,128,16,1,4,16,32,2147483648.0,1046501
4,1,16,256,16,64,64,1,512,2,184.34048461914065,1048183
8,1,32,8,32,32,256,2,512,128,27.09401512145996,1050121
16,4,64,512,64,32,2,2,128,64,47.17465591430664,1058782
4,8,8,256,64,64,1,16,2,1024,27.435007095336918,1063232
4,1,32,256,32,16,1,8,1024,64,4.020224094390869,1067353
4,2,16,256,64,32,64,1,1024,2,18.84364891052246,1070157
4,1,32,64,32,4,16,4,512,512,21.74259185791016,1072852
8,1,64,4,64,4,1,128,256,1024,2.5681920051574707,1075471
64,1,8,16,256,16,1,128,32,512,54.89561462402344,1077700
16,4,32,64,256,8,8,2,1024,4,93.03040313720705,1080894
8,8,64,4,16,16,32,1,512,2,171.97874450683594,1084515
8,32,128,64,8,32,4,32,256,512,8.10905647277832,1087025
32,4,16,256,128,64,8,16,512,64,6.3406081199646,1089293
8,64,64,8,16,4,2,2,32,2,539.7227783203125,1094008
4,1024,1024,64,4,1,2,2,2,16,2147483648.0,1110444
16,16,256,512,16,8,32,4,32,64,1894.3785400390625,1116561
512,8,8,8,1024,2,16,4,32,8,2147483648.0,1131101
4,2,8,16,512,8,4,1,32,512,2147483648.0,1142779
4,32,64,64,32,2,2,32,256,1024,31.310848236083984,1146950
4,4,16,16,256,16,32,2,256,16,4.001791954040527,1148704
4,32,64,8,8,4,16,1,64,1,1664.9820556640625,1152503
4,1,128,4,16,8,8,1,8,32,591.0763549804688,1159626
8,2,16,8,16,8,8,2,128,128,4.736000061035156,1161664
4,16,16,4,256,1,1,1,1,32,2147483648.0,1176134
32,4,256,256,32,1,8,8,128,128,63.07737731933594,1180471
4,2,128,16,32,2,32,16,1024,128,66.9306869506836,1181618
32,32,64,8,32,16,8,1,1024,64,2147483648.0,1193815
4,128,512,512,8,1,4,1,8,32,2147483648.0,1206354
16,2,16,128,128,8,32,8,1024,128,17.01478385925293,1208816
16,8,16,512,32,128,64,2,1024,128,4.104191780090332,1210960
4,1,4,32,32,64,4,1,512,128,7.136256217956543,1212978
4,8,32,32,4,32,2,1,16,256,30.49472045898437,1214515
4,8,32,32,4,1,8,4,32,256,49.06393432617188,1215578
4,16,16,4,128,64,4,4,1024,1024,5.417984008789063,1220229
4,16,128,256,64,8,1,2,1,512,2147483648.0,1234605
64,32,128,4,64,16,32,16,128,1024,2147483648.0,1246625
8,1,64,256,16,4,2,8,16,8,167.9779815673828,1248225
128,4,4,64,128,64,64,1,128,512,210.52621459960935,1252669
64,1,4,256,64,64,512,2,512,4,6327.57861328125,1260290
4,64,128,1024,32,32,128,8,128,512,117.59718322753906,1262450
16,16,256,1024,16,8,4,256,128,1024,13.718527793884276,1265275
32,8,64,16,32,8,64,16,1024,16,202.3546905517578,1267337
8,256,1024,16,8,2,64,8,256,8,2147483648.0,1279802
8,32,256,16,32,4,4,4,4,1024,204.37298583984372,1283265
16,2,8,16,1024,2,16,1,1024,2,673.9844970703125,1287394
16,32,32,4,128,1,128,2,128,1024,177.67730712890625,1291966
16,2,32,128,16,4,1,64,128,256,7.870463848114014,1293832
4,2,32,8,32,8,4,2,32,256,4.141056060791016,1296214
64,1,4,8,512,2,2,64,8,64,970.3301391601562,1299501
64,1,4,128,128,32,1,32,2,512,54.117374420166016,1301197
32,2,16,16,256,2,32,2,512,32,120.90777587890624,1303604
8,32,64,256,64,32,4,128,32,256,129.05165100097656,1308000
8,8,32,1024,128,32,256,4,256,128,14.715904235839844,1310371
32,1,8,8,64,4,64,4,1024,64,14.138367652893066,1312811
8,8,64,1024,8,128,1,1024,2,1024,980.443115234375,1315118
16,4,4,16,32,16,1,2,8,256,10.145792007446287,1317735
4,16,128,64,32,16,1,4,32,512,90.06694030761719,1326430
4,8,512,64,8,4,1,4,8,512,2147483648.0,1337910
8,1,128,128,16,16,16,64,256,512,4.829184055328369,1339785
4,16,16,4,8,4,8,2,1024,256,24.50124740600586,1341055
4,4,64,1024,8,16,4,128,4,128,760.6681518554688,1343116
8,1,256,64,32,2,4,16,1024,16,3.2276480197906494,1345201
4,2,256,8,4,8,4,2,8,128,1005.8055419921876,1351736
8,8,16,128,128,8,128,1,1024,16,13.27513599395752,1354613
8,2,16,16,16,16,4,1,128,8,10.42636775970459,1357579
8,4,128,1024,32,8,2,4,32,4,205.82298278808597,1362043
4,2,64,8,8,1,1,1,8,1024,115.59219360351562,1365437
16,4,64,16,16,16,4,16,16,64,12.889087677001951,1367778
32,128,128,16,32,1,64,16,1024,256,2147483648.0,1381588
4,32,64,8,128,4,2,512,16,1024,2147483648.0,1393939
4,4,8,128,32,16,1,2,8,1024,5.103616237640381,1396290
8,2,4,4,16,16,32,16,256,1024,10.034175872802734,1398142
16,1,8,1024,16,256,2,32,128,64,9.704447746276855,1400355
8,8,64,4,16,2,4,4,1024,128,13.520895957946776,1402947
4,32,32,128,16,8,2,8,32,1024,12.18560028076172,1406021
8,2,256,256,32,1,4,128,32,512,10.414079666137695,1407993
32,64,128,256,32,32,1,4,512,128,2147483648.0,1420030
16,16,16,64,64,4,1,64,16,1024,2147483648.0,1431502
4,16,256,32,32,8,1,1,4,1,2147483648.0,1450204
8,4,32,32,8,128,4,8,1024,64,1.6158720254898071,1451749
256,32,32,16,256,1,8,32,512,1024,2147483648.0,1469281
64,8,16,8,256,8,4,128,64,256,447.1398315429688,1473841
4,4,32,512,128,32,1,16,32,128,13.553664207458496,1479229
4,16,64,32,4,64,16,2,512,1024,6.37337589263916,1481216
32,8,16,512,64,64,2,2,512,1024,3.072000026702881,1483904
16,1,4,8,64,64,32,8,512,256,4.900864124298096,1485499
64,1,4,4,128,8,32,8,512,16,76.49075317382812,1486825
8,8,32,8,64,32,1,32,1,128,188.95257568359372,1491301
8,2,32,256,128,8,8,64,512,256,10.124287605285645,1493492
4,4,4,4,128,8,8,2,128,1024,17.42950439453125,1496101
4,16,256,8,4,16,128,2,512,32,759.9431762695312,1499552
32,32,64,8,128,2,32,8,512,512,2147483648.0,1510805
32,1,128,256,64,2,1,1,2,1024,2147483648.0,1520817
4,8,16,16,64,32,2,16,32,512,3.093503952026367,1523554
8,32,64,1024,32,32,4,8,256,128,9.3951997756958,1526382
4,4,16,128,4,512,32,8,32,32,389.0442199707031,1527860
16,4,8,16,64,32,1,8,4,128,28.03302383422852,1530276
64,32,64,128,128,4,8,64,512,1024,2147483648.0,1542305
8,1,32,8,128,4,1,64,4,128,44.99046325683594,1544629
4,4,8,32,16,32,4,32,16,1024,6.393856048583984,1546557
4,32,64,16,8,64,16,2,1024,4,16.061439514160156,1549332
8,8,16,1024,128,64,4,32,16,1024,3.481600046157837,1552017
64,16,16,32,64,32,128,8,512,32,1000.9343872070312,1557952
32,1,64,64,64,1,32,2,128,64,127.37535858154295,1568794
8,2,128,64,32,2,8,32,16,1024,37.98835372924805,1569891
8,16,16,32,16,2,4,2,4,128,57.72390365600586,1571382
4,2,32,4,16,1,2,4,2,4,2438.8740234375,1575055
4,16,256,1024,8,32,128,1,512,4,105.42489624023438,1581863
16,16,256,16,16,4,1,4,16,4,317.33453369140625,1590515
64,32,64,256,64,4,1,256,4,256,2147483648.0,1602604
4,4,32,128,32,64,4,16,512,64,1.4909440279006958,1604197
16,8,16,8,256,4,2,16,16,256,19.89119911193848,1616299
8,32,128,16,8,1,32,2,256,4,334.6790466308594,1619183
4,1,8,32,4,256,32,1,512,64,18.909183502197266,1622264
8,16,16,128,128,64,8,16,512,256,4.246528148651123,1625067
4,4,1024,4,4,2,32,8,1024,64,172.71090698242188,1628325
4,64,128,128,16,2,256,4,512,64,284.3084716796875,1630699
4,64,256,32,8,16,2,2,4,2,2697.647216796875,1636546
4,2,512,4,8,2,128,2,256,4,2147483648.0,1648365
4,4,8,4,16,2,16,2,128,16,69.05548858642578,1649563
4,32,512,8,16,4,1,8,128,256,46.58073425292969,1658073
4,1,16,4,8,256,1,16,64,128,1.8718719482421875,1659842
8,64,128,512,64,8,2,8,1024,512,2147483648.0,1672064
8,64,64,64,64,4,8,1,256,64,10.446847915649414,1676575
16,64,128,128,16,2,2,2,2,256,473.3992919921875,1681942
16,16,64,4,32,4,32,2,1024,128,35.985408782958984,1686116
8,4,8,32,8,128,1,4,1,512,28.061695098876957,1687249
8,16,512,256,16,4,16,16,128,1024,34.82726287841797,1689637
4,16,1024,16,4,2,16,2,32,16,2147483648.0,1702094
16,1,16,32,256,4,2,2,512,256,2147483648.0,1713767
128,4,16,4,128,8,2,32,256,64,470.3590393066406,1716875
16,16,256,1024,32,8,8,2,128,4,2147483648.0,1729086
4,1,512,8,8,8,64,8,1024,256,44.60543823242188,1732948
64,4,16,4,256,1,2,2,256,256,41.70854568481445,1741813
8,32,64,64,8,1,2,2,128,256,9.34502410888672,1744388
16,2,4,16,128,8,4,16,32,256,7.395328044891357,1746326
