tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp
128,32,8,4,16.01433563232422,38129079
64,1024,8,4,0.8663039803504944,38132147
16,1024,8,2,2.83955192565918,38134821
64,1024,32,2,1.1335680484771729,38137432
64,1024,16,4,1.1458560228347778,38140626
8,1024,4,8,5.555200099945068,38144036
64,1024,32,2,1.1335680484771729,38146878
128,1024,32,16,1.193984031677246,38149890
16,1024,2,4,2.981888055801392,38152256
64,128,8,4,4.465663909912109,38154839
64,128,8,4,4.465663909912109,38157873
32,256,4,4,4.607999801635742,38160772
64,256,8,4,2.45964789390564,38163670
32,1024,8,4,1.5278079509735107,38166251
32,1024,8,4,1.5278079509735107,38168916
256,1024,32,1,0.9441279768943788,38171783
64,512,8,4,1.4131200313568115,38174778
64,1024,8,4,0.8652799725532532,38177813
32,1024,8,4,1.5278079509735107,38180635
64,1024,16,8,1.137663960456848,38183670
64,1024,32,1,0.8939520120620728,38186158
64,1024,32,1,0.8939520120620728,38189432
64,1024,32,1,0.8939520120620728,38192376
64,1024,8,4,0.8663039803504944,38194654
64,1024,8,2,1.4141440391540527,38197861
64,1024,16,2,0.8960000276565552,38200317
64,1024,16,1,1.397760033607483,38202969
64,1024,8,64,1.224704027175903,38206028
64,16,8,4,31.5361270904541,38210524
8,1024,8,4,5.434368133544922,38213291
16,1024,8,4,2.8375039100646973,38216017
16,1024,8,1,2.9163520336151123,38218973
64,512,4,2,2.4832000732421875,38221668
128,1024,32,1,0.9205759763717652,38224403
32,1024,32,1,1.474560022354126,38227069
256,512,8,4,1.4520319700241089,38229503
64,16,8,4,31.53715133666992,38234064
16,1024,2,4,2.981888055801392,38236711
64,8,8,4,62.95142364501953,38242697
1024,1024,8,4,1.0035200119018557,38245804
64,1024,16,4,1.146880030632019,38248330
64,1024,8,1,1.9824639558792116,38251279
256,1024,8,4,0.9277439713478088,38254574
64,1024,8,4,0.8663039803504944,38257561
1024,8,8,4,62.88281631469727,38263700
32,1024,4,4,1.5923199653625488,38266854
64,16,8,4,31.538175582885746,38271144
64,1024,32,1,0.8939520120620728,38273874
64,1024,32,1,0.8939520120620728,38276667
128,1024,16,1,1.4755840301513672,38279499
64,1024,32,1,0.8939520120620728,38281789
64,1024,8,4,0.8663039803504944,38284682
64,1024,32,2,1.1335680484771729,38287151
64,512,32,1,1.4202879667282104,38290080
