tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp
512,2,256,1,321.0598449707031,37257431
32,8,32,2,166.7440643310547,37259391
2,512,1,128,64.54783630371094,37265539
1024,256,1,4,5.873663902282715,37268673
32,1024,16,16,2.106368064880371,37271295
1024,2,64,2,355.9690246582031,37273694
512,64,32,32,14.320639610290527,37276898
512,512,4,4,2.02239990234375,37279673
8,1024,1,32,7.211008071899414,37282750
128,32,1,32,19.785728454589844,37286502
32,32,8,2,30.0503044128418,37290759
16,16,8,4,125.90386962890624,37292321
128,8,1,2,55.94112014770508,37297848
64,32,32,16,25.72287940979004,37301683
8,128,2,4,33.39059066772461,37305671
1024,512,32,16,2.10534405708313,37308349
256,128,8,8,6.532095909118652,37311023
4,512,2,4,18.479103088378903,37314142
512,2,32,1,236.10470581054688,37315815
256,512,16,32,2.2231040000915527,37318411
1024,32,1,16,18.07872009277344,37321919
512,16,32,4,47.33542251586914,37326815
256,512,2,8,3.675136089324951,37329411
1,4,1,1,7311.3466796875,37338243
2,256,1,2,68.57830047607422,37344427
64,1024,64,2,1.1263999938964844,37347172
1,4,1,2,7675.654296875,37356263
512,256,1,8,9.466879844665527,37359156
256,8,16,4,95.25452423095705,37360653
2,32,1,1,447.5125732421875,37362612
32,16,1,4,57.53548812866211,37368353
512,64,128,2,13.180928230285645,37371590
512,256,128,8,3.679231882095337,37374163
32,128,32,2,11.83129596710205,37377726
512,64,16,4,12.522496223449709,37380610
256,1,256,1,610.6337280273438,37382748
16,128,4,1,15.71225643157959,37386393
512,256,32,32,3.8359038829803462,37389363
8,64,2,2,61.98374557495117,37394881
128,512,2,256,2.276351928710937,37397729
512,64,2,8,8.349696159362793,37401073
32,512,2,64,4.074495792388916,37403674
4,256,4,1,34.323455810546875,37407677
64,8,2,2,55.3625602722168,37413208
32,1,32,1,910.1885375976562,37415504
32,8,2,2,111.7286376953125,37416949
256,256,32,4,3.7519359588623047,37419514
16,32,2,16,69.60537719726562,37425664
16,64,8,2,31.20639991760254,37429525
256,32,128,8,26.67622375488281,37433159
256,128,8,32,6.673408031463623,37435812
32,1024,4,2,2.619391918182373,37438767
256,128,16,8,6.7942399978637695,37441276
1024,512,2,2,3.9004158973693848,37443873
128,512,32,8,2.08076810836792,37446108
128,64,128,8,13.732864379882812,37449384
32,256,8,8,6.636544227600098,37452058
64,1024,32,4,1.1315200328826904,37454386
512,8,2,1,52.3059196472168,37459638
1024,64,64,1,12.199935913085938,37462362
256,256,64,2,3.5031039714813232,37464797
1024,16,1,16,35.56147384643555,37469856
512,64,1,64,15.241215705871582,37472694
64,2,16,2,242.6429443359375,37474464
64,512,8,128,2.1821439266204834,37477560
16,256,4,8,9.32147216796875,37480906
512,128,8,16,7.114751815795898,37484176
4,1024,2,8,10.638336181640623,37486919
256,128,1,4,6.9273600578308105,37490262
1024,256,4,2,3.571712017059326,37492583
64,1024,64,1,1.1386879682540894,37495014
64,64,64,16,14.111743927001951,37498279
64,512,1,16,5.592063903808594,37501297
1024,512,1024,1,4.616191864013672,37503573
16,512,4,1,5.121024131774902,37506271
256,128,8,16,6.6457600593566895,37509695
16,512,2,64,7.333888053894043,37512624
4,512,1,2,18.80064010620117,37516451
2,1024,1,1024,126.3984603881836,37518234
256,256,128,8,3.693567991256714,37521142
8,32,2,16,137.76588439941406,37522861
512,64,128,8,13.789183616638184,37526257
1024,128,256,2,6.556672096252441,37528915
32,256,8,64,7.303167819976807,37532090
16,128,2,4,16.265216827392578,37535725
16,512,1,32,6.871039867401123,37538217
16,512,16,32,7.611392021179199,37541264
1024,512,16,2,1.509376049041748,37543919
64,256,8,4,2.4586238861083984,37546862
32,32,4,8,32.28160095214844,37550821
16,32,16,4,95.7317123413086,37552421
512,512,64,2,2.060287952423096,37554578
32,256,1,4,5.009407997131348,37557442
16,512,2,8,5.358592033386231,37560327
128,512,1,128,4.646912097930908,37562626
16,128,2,2,16.00102424621582,37565785
16,16,4,8,127.3722915649414,37567407
4,128,2,32,106.82879638671876,37568980
512,512,1,2,6.4634881019592285,37571840
1024,128,4,64,7.18233585357666,37574908
16,64,16,8,50.098175048828125,37579934
64,1024,32,16,1.1683839559555054,37581971
512,256,1,128,4.710400104522705,37584665
64,512,64,4,1.9752960205078125,37586929
512,1024,512,2,3.9383039474487305,37590110
512,256,256,1,3.3996798992156982,37592551
4,1024,1,512,31.330303192138672,37596824
4,1024,2,8,10.673151969909668,37600038
256,16,1,2,28.6484489440918,37603762
256,1024,4,2,2.1770238876342773,37606126
1024,32,1,32,21.766143798828125,37610058
512,32,256,1,22.905855178833008,37613881
512,128,64,16,7.263232231140137,37616881
1024,128,64,16,7.282688140869141,37619629
512,128,2,8,4.542463779449463,37622218
16,256,8,16,13.273088455200195,37625796
32,512,2,256,4.574207782745361,37628400
16,128,1,1,17.728511810302734,37631301
64,32,64,16,27.597824096679688,37635546
64,128,16,2,4.433919906616211,37638457
64,1,8,1,365.1655578613281,37640566
1024,1024,8,4,1.0024960041046145,37643129
128,8,64,4,95.94060516357422,37644853
512,512,2,16,2.2753279209136963,37646894
1,128,1,32,334.9360656738281,37648695
