tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,Valid,timestamp
8,4,16,4,8,32,1,512,16,512,54.758399963378906,True,977273
4,4,8,64,4,8,1,4,4,4,2150.286376953125,True,980511
64,4,64,4,64,8,4,8,4,1024,163.76832580566406,True,983292
8,8,16,16,256,2,4,128,16,1024,32.79974365234375,True,987991
4,2,32,4,32,8,1,1,32,512,36.68377685546875,True,999657
4,2,64,32,32,16,16,8,64,256,2.769920110702514,True,1001874
4,256,512,8,4,16,8,16,256,128,201.47608947753903,True,1007527
128,16,64,16,128,1,2,32,256,128,242.6306610107422,True,1018550
8,256,1024,32,8,1,4,16,512,1024,2147483648.0,False,1030903
4,2,8,4,128,8,16,64,128,128,18.159616470336918,True,1033348
4,2,4,256,32,256,4,32,128,32,28.9617919921875,True,1034415
128,2,64,16,128,4,1,8,4,32,171.6459503173828,True,1043876
16,8,64,32,128,2,256,4,1024,128,88.4684829711914,True,1046234
4,8,8,256,256,32,8,1,1024,512,5.3442559242248535,True,1049374
4,8,128,512,8,4,4,256,32,256,116.4574737548828,True,1050963
8,2,8,8,8,4,8,4,16,32,199.4219512939453,True,1052582
16,8,64,8,32,4,2,8,256,16,3.8338561058044434,True,1054804
8,32,64,16,64,16,128,2,1024,512,25.801727294921875,True,1056948
8,512,1024,128,8,1,4,4,8,32,2147483648.0,False,1071806
64,16,64,16,64,32,32,1,1024,2,2147483648.0,False,1085805
8,8,128,8,32,16,2,128,512,128,4.347904205322266,True,1088160
8,4,4,8,8,512,2,2,1024,512,8.472576141357422,True,1090045
32,4,16,32,32,8,16,2,1024,2,117.45689392089844,True,1091942
16,16,16,4,512,2,1,16,32,1024,2147483648.0,False,1109339
32,64,128,64,64,4,8,32,32,1024,2147483648.0,False,1121347
4,16,128,4,32,8,8,32,8,512,42.64652633666992,True,1122614
32,1,16,8,32,32,4,2,512,4,177.13766479492188,True,1124773
8,8,64,32,128,8,64,2,128,64,17.269760131835938,True,1128328
128,8,64,512,128,16,32,8,32,128,198.5955810546875,True,1133780
32,16,128,64,32,2,64,4,64,512,950.4204711914062,True,1139028
4,16,32,512,64,16,2,1,64,4,81.60870361328125,True,1145358
8,1,512,1024,8,8,1,8,16,64,40.96307373046875,True,1152037
4,8,256,64,8,32,64,8,512,64,17.695743560791016,True,1155055
16,1,16,4,16,4,1,1,1,4,1336.4971923828125,True,1158807
8,32,64,128,64,64,64,8,64,32,364.8829345703125,True,1161412
4,4,32,16,32,2,4,4,8,1024,8.365056037902832,True,1163477
4,16,256,256,8,4,8,8,64,256,24.414207458496094,True,1165038
16,1,8,512,16,64,256,2,256,512,69.92179107666016,True,1166324
16,4,64,128,64,4,1,16,2,256,23.642112731933597,True,1169685
8,4,4,8,16,32,4,8,4,64,225.7551422119141,True,1170952
128,1,16,8,256,1,32,4,1024,128,137.62252807617188,True,1175493
32,2,128,4,64,1,2,64,64,256,3.640320062637329,True,1177574
128,32,64,4,128,1,32,4,64,8,2147483648.0,False,1191228
8,2,64,64,32,64,256,2,256,64,48.23654556274414,True,1194006
16,1,16,256,256,16,32,8,256,256,12.272640228271484,True,1196371
8,2,4,64,128,64,8,8,64,1024,1.8647040128707888,True,1198334
512,2,16,4,512,2,1,4,1,128,2147483648.0,False,1211126
4,16,64,8,128,1,4,64,16,1024,24.981504440307617,True,1215478
8,16,1024,128,8,2,4,8,64,128,180.77491760253903,True,1220228
8,64,512,128,8,1,32,4,512,512,231.07583618164065,True,1224997
64,16,16,16,512,4,16,8,256,1024,2147483648.0,False,1236326
16,4,16,128,16,8,4,64,64,1024,8.922112464904785,True,1238604
4,2,64,16,4,128,4,4,1024,16,5.119999885559082,True,1240289
4,1,512,16,8,1,64,4,256,256,684.19482421875,True,1245950
8,128,1024,8,8,1,8,8,256,512,125.85676574707033,True,1251114
8,1,32,16,256,2,16,1,16,64,83.0013427734375,True,1254890
32,4,16,1024,64,64,8,2,1024,64,3.5737600326538086,True,1257891
4,8,32,512,8,256,32,8,256,1024,3.5583999156951904,True,1260107
16,2,16,128,16,64,32,2,128,4,285.50860595703125,True,1262171
128,4,4,4,256,16,8,32,1024,32,6086.998046875,True,1272658
8,4,4,32,8,32,64,16,1024,32,110.10559844970705,True,1273892
16,8,16,4,16,4,1,64,2,256,288.0153503417969,True,1275741
8,1,16,16,256,4,1,16,16,128,20.367359161376957,True,1282195
4,4,4,64,32,16,8,2,128,8,14.699520111083984,True,1284429
4,8,64,8,128,4,2,1,256,32,2147483648.0,False,1299216
