tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,timestamp
32,32,32,32,54.8218879699707,True,1022735
128,8,64,2,90.15193939208984,True,1024431
16,128,16,32,27.96031951904297,True,1028244
256,2,8,2,233.80992126464844,True,1030154
1,2,1,2,2147483648.0,False,1040857
512,4,8,4,124.59008026123048,True,1042585
512,256,16,2,2.519040107727051,True,1044942
512,64,32,32,14.332927703857422,True,1048003
1024,64,1,8,8.547327995300293,True,1050818
8,1024,1,4,5.742591857910156,True,1053459
512,32,128,2,23.797760009765625,True,1057061
64,2,32,2,317.8332214355469,True,1058955
2,256,1,256,140.8389129638672,True,1060743
256,256,4,128,3.750911951065064,True,1063490
1024,512,16,1,1.657855987548828,True,1065985
1024,32,32,32,27.63776016235352,True,1069792
256,128,4,2,4.65715217590332,True,1072387
1024,128,128,2,6.774784088134766,True,1075171
1024,32,16,2,16.480255126953125,True,1078202
1,8,1,1,3705.669677734375,True,1083552
32,256,1,32,6.338560104370117,True,1086234
8,256,4,8,17.935359954833984,True,1089482
256,512,4,2,2.767872095108032,True,1091930
512,128,2,2,6.354944229125977,True,1094452
1024,32,128,1,23.422975540161133,True,1097981
1024,32,256,4,25.184255599975582,True,1101721
8,128,8,128,65.5964126586914,True,1107421
128,2,64,1,307.5235900878906,True,1109370
128,1,2,1,285.1409912109375,True,1111193
64,16,2,4,29.321216583251957,True,1115085
32,128,16,32,13.981696128845217,True,1118096
8,4,1,4,922.9445190429688,True,1120603
128,512,8,1,2.6060800552368164,True,1122985
512,128,4,4,4.447231769561768,True,1125343
512,1024,8,16,1.1683839559555054,True,1127893
1024,8,8,1,57.8232307434082,True,1133150
4,4,4,4,1987.905517578125,True,1136629
8,128,8,32,53.91769790649414,True,1141763
8,128,2,128,58.40998458862305,True,1147212
16,8,1,2,223.2268829345703,True,1149014
32,64,8,64,27.693056106567383,True,1152655
2,2,1,1,7031.3828125,True,1161312
8,512,1,32,11.276288032531738,True,1164338
64,256,64,1,3.353600025177002,True,1166831
256,1024,16,64,1.206272006034851,True,1169244
512,32,8,2,15.756287574768066,True,1172361
128,16,32,1,29.876224517822266,True,1176442
16,256,8,8,12.955648422241213,True,1179408
32,16,32,16,101.45075225830078,True,1181069
64,512,2,16,1.627135992050171,True,1183487
64,128,2,2,4.692992210388184,True,1185966
1024,512,16,64,2.1760001182556152,True,1188492
