tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp
32,64,8,32,25.93484878540039,22487793
64,32,64,8,25.625600814819336,22492002
1024,1,256,1,611.6044921875,22494174
1024,32,32,16,25.828351974487305,22497908
256,32,32,32,27.72889518737793,22501885
256,64,32,32,14.202879905700684,22505345
16,4,4,4,480.3368835449219,22507342
1024,2,256,2,374.1788024902344,22509291
128,512,2,512,3.8389759063720703,22511656
512,16,256,4,48.98303985595703,22516989
256,16,4,2,29.608959197998047,22521317
1024,32,1024,1,22.01907157897949,22524878
16,32,16,16,102.2525405883789,22526831
1024,32,512,2,24.027135848999023,22530620
64,1024,2,512,1.931264042854309,22533170
32,1,32,1,910.2919921875,22535564
4,256,1,128,61.65913772583008,22540940
512,128,512,2,6.289408206939697,22543739
128,1024,64,16,1.1325440406799316,22546066
128,16,16,1,29.319168090820312,22550237
8,512,1,32,11.719679832458496,22553469
32,1024,8,32,2.119679927825928,22556006
1024,256,1024,1,5.942272186279297,22559447
512,512,16,16,2.174976110458374,22562128
256,16,16,8,49.39673614501953,22567329
16,64,8,32,52.14720153808594,22572425
512,64,512,2,12.15385627746582,22575761
32,512,16,8,3.65670394897461,22578553
1024,1024,64,16,1.1304960250854492,22580973
1024,8,1024,1,80.15360260009766,22587759
512,64,16,64,15.150079727172852,22591338
64,256,2,256,4.21068811416626,22593805
1024,64,64,1,12.203007698059082,22597299
1024,512,4,256,2.3152639865875244,22599917
64,256,16,32,3.7007360458374015,22602561
512,1,512,1,613.2561645507812,22604896
512,4,128,4,196.2659912109375,22606711
128,256,64,8,3.570688009262085,22609346
1024,32,512,1,22.05081558227539,22613149
4,1024,2,1,11.312128067016602,22616616
256,1,256,1,611.3740844726562,22619089
1024,128,1024,1,11.146240234375,22622594
512,4,64,4,191.59039306640625,22624202
256,8,256,2,93.73388671875,22626323
512,512,16,16,2.1882879734039307,22629058
4,1024,2,128,16.41574478149414,22632075
512,1024,4,8,1.070080041885376,22634507
512,2,256,2,374.2177429199219,22636746
128,128,8,16,6.444032192230225,22639415
512,256,8,1,3.0023679733276367,22642255
1024,8,1024,1,80.16486358642578,22649362
1024,64,1024,1,11.181056022644045,22652805
1024,16,64,16,54.67136001586914,22658414
512,32,64,8,25.96454429626465,22662227
256,8,256,1,80.82329559326172,22668780
256,128,2,1,9.189375877380373,22671730
16,512,2,256,8.755200386047363,22674660
8,128,8,1,32.70246505737305,22678691
1024,1024,1024,1,4.628479957580566,22681258
256,512,128,8,1.985535979270935,22683713
64,128,8,16,6.341631889343262,22687008
128,64,1,64,14.535679817199709,22690275
16,32,4,1,58.394622802734375,22696128
128,256,8,64,3.640320062637329,22698575
64,16,4,8,31.731712341308597,22702585
16,128,4,4,16.85094451904297,22705619
32,512,4,128,3.996671915054321,22708370
64,8,32,8,97.20217895507812,22710261
256,1024,64,2,1.2021759748458862,22713354
1024,64,32,1,8.573951721191406,22716826
256,1024,1,1024,3.999743938446045,22719935
1024,4,512,1,159.43064880371094,22721770
64,1024,8,32,1.1683839559555054,22724350
32,1024,2,512,3.854336023330689,22726923
128,8,4,8,62.78758239746094,22732375
1024,4,512,1,159.42349243164062,22734178
4,64,4,32,209.64556884765625,22736052
512,64,2,32,13.320192337036133,22739362
1024,32,1024,1,22.020095825195312,22743055
1024,8,8,2,61.6550407409668,22748622
1024,32,1024,1,22.021120071411133,22752749
128,128,64,16,7.341055870056152,22756038
128,32,128,1,22.88025665283203,22759752
256,512,8,1,2.6501119136810303,22762732
256,8,16,2,61.55059051513672,22768757
16,128,1,32,20.02534484863281,22772124
512,4,256,1,160.89395141601562,22773868
32,128,4,128,14.722047805786133,22777522
256,1024,64,2,1.2042239904403689,22780244
512,32,256,2,24.026111602783203,22784274
512,128,128,8,7.070720195770264,22787092
16,1024,16,1,2.777087926864624,22790566
1024,128,1,16,4.999167919158936,22793863
1024,512,128,1,2.091007947921753,22796310
128,64,32,2,12.149760246276855,22799795
2,1024,1,1024,126.46195220947266,22801412
512,512,512,1,3.3269760608673096,22804145
32,1024,4,4,1.59334397315979,22806861
512,512,256,4,3.389440059661865,22809155
4,512,4,2,19.084287643432617,22812456
512,64,32,32,14.340096473693848,22815818
512,64,128,4,12.827648162841797,22819450
32,256,2,8,4.905983924865723,22822372
64,32,2,1,15.128576278686523,22825728
1024,16,64,1,44.38528060913086,22830309
32,512,32,16,3.6771841049194336,22832922
256,128,2,128,7.223296165466309,22835664
1024,16,128,4,49.527809143066406,22841042
64,512,64,1,1.9066879749298096,22843572
1024,2,256,1,307.810302734375,22845613
1024,32,256,2,23.638015747070312,22849166
2,128,1,32,164.9838104248047,22851054
32,64,8,1,15.19001579284668,22854484
32,16,16,16,101.15583801269533,22856332
512,1024,32,32,1.1263999938964844,22859201
128,512,128,2,1.978368043899536,22862488
512,8,512,2,93.73900604248048,22864088
8,128,8,128,65.7264633178711,22870208
256,64,256,1,11.744256019592283,22873431
1024,1024,1024,1,4.624383926391602,22875887
256,512,2,128,3.0607359409332275,22878398
1024,64,1,16,9.435135841369627,22881547
64,256,32,32,3.843071937561035,22884428
1024,512,32,2,2.026495933532715,22887279
1024,1024,32,4,1.230847954750061,22890394
256,8,128,1,83.79801940917969,22897746
16,1024,16,8,3.872767925262451,22901121
16,32,16,4,95.6723175048828,22903063
256,64,8,1,8.071167945861816,22906326
1024,4,256,1,164.14002990722656,22908061
256,256,128,8,3.694591999053955,22910601
512,512,8,128,2.189311981201172,22913300
512,16,512,2,47.38764953613281,22918424
256,256,64,8,3.9004158973693848,22921619
512,16,8,16,48.39833450317383,22926814
1024,256,64,4,3.778559923171997,22929911
512,8,512,1,80.15974426269531,22936870
128,1,128,1,611.5645141601562,22939257
1024,8,1024,1,80.15257263183594,22945689
