tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp
1024,16,32,1,4.385791778564453,10133287
1024,8,32,2,5.283840179443359,10135633
1024,128,32,32,24.373247146606445,10139920
1024,1,1024,1,13.527039527893066,10142997
1024,1,16,1,4.101119995117188,10146631
1024,4,16,1,4.047872066497803,10149174
1024,8,32,1,3.992575883865357,10152317
1024,8,32,1,3.992575883865357,10154350
1024,2,32,1,4.093952178955078,10156743
1024,8,32,1,3.992575883865357,10159607
1024,1,32,1,4.1154561042785645,10161766
512,8,32,1,7.968768119812012,10165091
1024,32,32,8,7.333888053894043,10167748
256,8,64,1,20.282367706298828,10171659
1024,8,32,1,3.992575883865357,10174091
1024,8,8,1,5.695487976074219,10175956
1024,8,16,1,4.3970561027526855,10179241
1024,8,32,1,3.992575883865357,10181873
1024,2,32,1,4.093952178955078,10184707
1024,2,32,1,4.093952178955078,10187782
1024,8,64,1,5.092351913452148,10190680
1024,8,128,1,5.097472190856934,10193048
1024,1024,32,1,119.05741119384766,10204021
1024,8,256,1,5.745664119720459,10207301
256,32,32,1,15.853568077087402,10210419
1024,512,1,1,1775.46142578125,10213281
1024,8,16,2,4.047872066497803,10215517
1024,8,32,1,3.992575883865357,10217187
1024,8,1024,1,13.091839790344238,10221028
1024,4,32,1,4.085760116577148,10223071
1024,2,16,1,4.079616069793701,10225605
1024,2,4,1,4.399104118347168,10228527
1024,2,8,1,4.055039882659912,10231168
1024,16,64,1,5.089280128479004,10233788
1024,4,8,1,4.415487766265869,10236343
1024,1,4,1,4.065279960632324,10240111
1024,1,8,1,4.092927932739258,10242832
1024,4,64,1,5.232639789581299,10246150
512,4,4,1,8.691712379455566,10249072
1024,4,16,1,4.047872066497803,10251750
1024,8,16,2,4.047872066497803,10254705
1024,16,16,1,5.7047038078308105,10257814
1024,8,32,1,3.9935998916625977,10261119
1024,64,1024,1,12.937215805053713,10264044
1024,8,8,1,5.6985602378845215,10266517
1024,1,8,1,4.091904163360596,10270164
1024,1,8,1,4.093952178955078,10273201
1024,4,1024,1,13.207551956176758,10275929
1024,8,16,2,4.047872066497803,10278407
1024,1,2,1,4.574207782745361,10281912
1024,8,4,2,5.688320159912109,10284815
1024,8,16,2,4.047872066497803,10287405
1024,2,4,1,4.3970561027526855,10290123
1024,2,16,1,4.077568054199219,10293180
1024,8,32,1,3.990528106689453,10295652
1024,2,16,1,4.076543807983398,10298398
1024,2,8,1,4.05401611328125,10301183
1024,1,1,1,5.730303764343262,10303481
1024,1,16,1,4.098048210144043,10306041
1024,4,16,1,4.046847820281982,10308446
1024,1,16,1,4.098048210144043,10310714
1024,8,8,2,4.413440227508545,10313023
1024,2,8,1,4.056064128875732,10315661
1024,16,4,2,8.694784164428711,10318992
1024,4,8,2,4.056064128875732,10321458
1024,1,32,1,4.114431858062744,10324088
1024,16,16,2,4.393983840942383,10326537
1024,4,8,1,4.410367965698242,10328339
1024,4,4,1,5.686272144317627,10330653
1024,4,16,1,4.047872066497803,10333261
1024,64,16,2,8.706048011779785,10336214
1024,4,16,1,4.047872066497803,10339176
