tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,Valid,timestamp
8,1024,1024,16,8,1,32,2,64,2,2147483648.0,False,1466640
16,4,4,4,64,2,1,4,2,32,390.49420166015625,True,1469469
4,8,1024,32,8,1,128,4,1024,4,2147483648.0,False,1480927
8,1,16,16,16,2,2,1,256,16,42.852352142333984,True,1482569
8,128,128,16,16,4,2,2,128,128,2147483648.0,False,1493960
4,32,512,64,4,1,32,1,64,1,2147483648.0,False,1506352
8,8,32,8,256,1,2,8,1024,8,2147483648.0,False,1517921
4,8,1024,64,4,4,2,32,4,128,170.3618621826172,True,1519583
8,16,1024,128,8,2,8,8,128,16,220.78565979003903,True,1524650
256,8,8,4,256,2,256,1,256,4,2147483648.0,False,1537004
16,64,64,32,64,1,16,2,64,128,2147483648.0,False,1548406
4,8,8,32,256,32,4,16,128,128,30.520320892333984,True,1552996
4,1,256,32,4,32,4,2,256,4,2147483648.0,False,1564246
32,64,128,4,64,1,256,1,256,16,2147483648.0,False,1578312
16,64,64,1024,16,32,2,128,512,256,252.36070251464844,True,1583661
8,8,1024,64,8,1,1,8,1,16,2147483648.0,False,1595055
4,8,512,64,4,16,1,1,1,64,2147483648.0,False,1607687
8,256,256,512,8,32,4,1,32,32,2147483648.0,False,1620201
16,1,64,8,16,1,2,1,2,512,2147483648.0,False,1631959
4,64,256,32,4,8,1,4,32,256,31.932416915893555,True,1633946
64,2,32,32,128,2,16,4,32,512,29.91206359863281,True,1638321
4,1,512,16,16,1,4,1,512,1,2147483648.0,False,1652763
8,1,128,512,16,4,4,16,512,512,3.3699839115142822,True,1654638
8,16,64,16,8,16,4,256,4,1024,665.8314208984375,True,1656625
16,32,64,64,64,32,32,1,128,1,1073.5390625,True,1667349
128,32,32,8,256,8,1,1,1,1,2147483648.0,False,1685219
16,128,256,16,32,2,64,16,256,64,2147483648.0,False,1697476
4,4,32,16,16,1,4,1,256,1,60.21734237670898,True,1698988
4,16,512,16,8,2,2,32,8,1024,30.738431930541992,True,1700249
4,1,64,4,128,8,4,4,8,16,59.11040115356445,True,1707588
16,4,16,16,64,1,2,256,2,512,902.92529296875,True,1710004
4,2,1024,8,4,4,16,16,512,1024,36.38476943969727,True,1712506
4,8,16,32,128,8,512,1,512,2,286.8818054199219,True,1714076
4,1,512,16,4,8,1,2,1,128,2147483648.0,False,1726116
4,8,256,8,4,4,1,8,512,32,3.510272026062012,True,1728226
4,128,128,8,8,4,2,1,2,1,6705.52978515625,True,1738551
4,1024,1024,8,8,1,2,32,2,256,2147483648.0,False,1755302
32,1,4,4,256,4,2,4,2,4,1178.7684326171875,True,1757997
4,2,1024,512,8,2,1,2,16,64,2147483648.0,False,1774311
8,4,512,16,8,8,1,2,4,128,2147483648.0,False,1786854
16,1,32,8,32,8,128,4,256,512,32.23756790161133,True,1788685
4,2,128,256,8,8,2,1,2,1,3460.75439453125,True,1798001
16,16,64,16,32,2,8,64,32,256,148.8179168701172,True,1800307
8,2,512,16,8,1,2,1,256,1,2147483648.0,False,1816407
64,8,16,16,512,4,16,1,32,512,77.25567626953125,True,1826059
4,256,1024,512,4,4,1,2,1,8,2147483648.0,False,1838628
16,8,32,256,32,32,1,1,16,4,58.828800201416016,True,1845512
4,1,4,8,8,2,1,1,1,16,1411.7867431640625,True,1848061
64,4,16,1024,64,128,1024,1,1024,1,2147483648.0,False,1859527
8,512,1024,64,8,1,256,1,256,1024,2147483648.0,False,1880652
32,1,16,8,32,2,2,8,32,16,41.90208053588867,True,1881920
4,16,256,32,4,8,1,2,256,64,27.704320907592773,True,1885088
8,64,256,1024,8,4,2,2,64,2,431.6989440917969,True,1890569
4,8,1024,256,4,4,1,2,1,4,2147483648.0,False,1903227
8,8,128,8,32,1,2,1,4,2,2147483648.0,False,1915664
8,4,8,8,128,8,4,2,8,1024,2.795520067214966,True,1917697
4,2,8,4,4,16,1,1,1024,4,19.8338565826416,True,1920471
64,1,4,32,64,16,8,32,32,32,292.72882080078125,True,1921943
4,256,256,512,16,2,256,2,1024,512,2147483648.0,False,1933538
8,1,128,512,16,16,2,2,4,128,122.95577239990234,True,1940702
128,2,8,16,128,8,8,1,256,16,2147483648.0,False,1952306
4,4,8,4,16,8,8,8,16,32,175.08863830566406,True,1953595
16,4,16,128,16,32,8,2,64,32,15.097855567932127,True,1956058
128,4,8,16,256,8,1,128,1,128,2147483648.0,False,1967462
4,128,128,512,32,4,1,1,2,1,2147483648.0,False,1982133
8,8,16,256,8,32,2,1,32,128,7.778304100036621,True,1984351
64,2,8,64,64,16,4,8,1024,128,7.270400047302246,True,1986684
8,2,256,8,16,4,64,2,128,2,2147483648.0,False,1998276
4,4,128,512,16,4,32,16,64,256,41.966590881347656,True,1999439
4,4,512,64,16,4,1,64,1,64,179.33311462402344,True,2001208
4,1,128,256,64,4,2,32,32,64,4.361216068267822,True,2003531
4,2,512,512,4,2,4,16,4,16,791.204833984375,True,2005751
16,8,8,16,64,2,4,2,4,2,2009.3214111328125,True,2009222
16,256,256,1024,32,4,32,4,64,1024,2147483648.0,False,2023645
4,2,8,32,4,8,2,2,2,2,7349.68212890625,True,2032215
16,8,8,4,512,4,2,4,32,512,2147483648.0,False,2044429
16,2,512,64,16,1,2,4,2,16,2147483648.0,False,2056984
16,1,8,128,16,128,32,1,256,8,102.05081939697266,True,2058772
