tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,timestamp
4,1,64,4,4,128,1,1,8,8,162.84364318847656,2500777
4,128,256,256,4,2,128,1,256,8,2147483648.0,2512226
32,4,256,16,32,1,2,2,16,512,2147483648.0,2526527
8,16,16,512,128,32,1,1,8,8,2147483648.0,2538854
8,16,16,32,512,2,32,1,32,2,638.0584716796875,2541477
4,32,64,64,16,128,2,32,64,32,18.42073631286621,2545046
4,32,1024,4,4,2,2,16,4,16,1146.9189453125,2548016
8,4,512,128,16,2,2,1,8,16,2147483648.0,2562907
16,32,64,4,16,2,2,32,4,256,283.35821533203125,2565827
4,2,512,4,4,16,16,1,128,256,2147483648.0,2579096
8,128,256,512,8,8,32,4,256,8,775.5540771484375,2585059
32,16,64,16,64,1,1,16,1,512,2147483648.0,2596335
4,4,256,16,4,1,16,1,128,256,2147483648.0,2607832
4,1,1024,32,8,2,1,16,64,32,24.96307182312012,2613714
64,2,4,8,128,4,8,16,8,256,84.99097442626953,2615482
4,8,1024,64,4,1,8,8,32,128,402.4883117675781,2618300
16,8,64,1024,16,32,16,1,256,128,11.612159729003906,2630099
4,16,1024,256,8,1,1,64,1,128,766.677001953125,2632314
8,2,4,128,8,64,1,16,1,1024,61.48915100097656,2633457
32,4,128,8,32,16,1,128,2,128,57.41363143920898,2635139
8,2,128,128,16,8,1,2,16,128,2147483648.0,2646736
4,16,16,16,4,16,4,4,8,16,529.7776489257812,2648733
16,4,64,4,16,2,8,4,8,8,1172.610107421875,2651661
64,1,32,8,256,1,4,4,4,16,203.0878753662109,2655302
256,1,4,8,1024,2,128,2,128,512,65.96915435791016,2660050
8,64,512,512,16,1,2,1,32,1024,2147483648.0,2674140
16,1,32,32,128,1,4,2,32,2,167.0277099609375,2677630
64,128,128,16,64,4,16,16,32,256,2147483648.0,2694861
8,64,512,8,16,2,4,4,16,4,2147483648.0,2706184
8,1,16,16,512,2,4,1,16,64,2147483648.0,2719325
4,8,128,8,32,4,2,8,2,32,57.19859313964844,2721567
16,4,4,4,1024,1,8,1,32,128,140.01356506347656,2725038
4,512,1024,256,4,2,8,1,16,256,2147483648.0,2740660
4,1,64,8,8,1,2,1,256,32,106.25023651123048,2742925
8,4,128,256,16,4,1,8,32,16,21.367807388305664,2746792
16,4,64,64,16,4,2,4,64,32,4.040703773498535,2749541
4,2,128,64,8,8,8,16,16,32,69.05856323242188,2750866
128,2,4,8,512,2,2,1,256,1,2147483648.0,2762393
4,32,64,1024,4,128,16,4,16,512,88.60569763183594,2763827
4,2,64,32,4,8,16,2,256,8,44.25727844238281,2765835
8,32,1024,256,8,1,128,1,1024,1,2147483648.0,2783780
32,8,16,128,128,64,4,32,256,64,255.8054351806641,2786200
8,1,8,4,64,4,2,1,2,128,36.03353500366211,2788607
4,1,32,4,8,2,2,16,256,64,2.738176107406616,2790348
64,2,32,512,128,16,2,4,2,4,1738.23388671875,2795543
4,4,1024,1024,4,1,4,8,1024,128,17.663999557495117,2799956
32,8,64,4,128,2,1,4,1,64,2147483648.0,2812207
64,4,4,4,256,1,8,128,1024,256,2291.5009765625,2816777
32,8,64,1024,64,16,64,2,1024,8,170.60044860839844,2827587
128,1,4,8,128,2,32,8,64,512,25.645055770874023,2829386
32,1,8,8,32,1,2,1,2,8,943.773681640625,2832599
4,4,8,4,8,1,8,128,8,1024,2122.492919921875,2835658
64,8,32,64,128,4,8,1,8,2,2147483648.0,2847919
4,512,1024,4,4,4,2,4,2,512,2147483648.0,2860728
4,64,128,8,4,64,2,2,4,8,730.735595703125,2863398
4,1,1024,8,4,1,16,64,1024,128,16.523263931274414,2866356
4,8,1024,128,4,2,2,64,4,128,225.73670959472656,2867799
16,128,256,256,16,2,16,8,32,64,2147483648.0,2879887
8,16,512,4,16,1,8,8,64,128,136.21554565429688,2884529
4,16,512,64,4,16,16,4,64,4,870.8280029296875,2888133
4,8,1024,512,4,4,1,4,1,8,2147483648.0,2899565
8,2,512,32,8,8,8,1,64,512,2147483648.0,2915521
128,2,4,4,128,2,2,4,2,64,438.2207946777344,2917826
4,256,256,4,4,32,8,2,8,64,2147483648.0,2929300
4,256,512,256,4,1,32,2,128,16,1358.9462890625,2935601
8,1,32,8,32,32,32,2,32,4,713.913330078125,2938160
8,128,1024,32,8,1,1,1,2,1,2147483648.0,2956207
8,4,32,128,8,32,8,16,256,64,4.740096092224121,2958097
