tuned_v3,tuned_v4,tuned_v5,tuned_v6,tuned_v7,tuned_v8,tuned_ls0,tuned_ls1,tuned_gs0,tuned_gs1,runtime,timestamp
4,2,64,128,32,16,4,16,256,512,0.447488009929657,39006709
4,4,64,128,32,32,8,16,256,512,0.3123199939727783,39009041
4,2,64,128,32,32,8,16,256,256,0.3031040132045746,39011067
4,2,64,128,32,16,8,16,128,256,0.3133440017700195,39012934
4,2,128,128,32,16,8,8,256,256,0.3399679958820343,39015038
4,2,64,128,16,32,8,16,256,512,0.9605119824409484,39017014
4,2,64,256,32,16,8,16,256,256,0.26009601354599,39018846
4,2,64,512,32,16,8,16,256,256,0.2979840040206909,39020387
4,2,64,128,32,32,8,8,256,64,0.4802559912204742,39022583
4,2,64,128,32,8,8,16,256,128,0.3911679983139038,39024391
4,2,64,256,32,16,4,16,64,256,0.5877760052680969,39026324
4,2,64,128,16,32,8,8,256,256,1.0199040174484253,39028071
4,2,64,128,16,32,8,16,256,256,0.8253440260887146,39029914
4,1,64,128,32,16,8,16,256,256,0.2508800029754638,39031649
4,2,64,128,32,16,8,16,256,256,0.2437119930982589,39033161
4,2,64,256,64,16,8,16,256,256,0.3962880074977875,39035474
4,2,64,128,16,32,8,16,256,128,0.9922559857368468,39037028
4,2,128,128,16,16,8,16,256,256,1.901568055152893,39038846
4,4,64,128,32,16,4,16,256,256,0.4536319971084595,39040348
4,4,64,128,32,32,8,16,512,256,0.3583999872207641,39042575
4,2,64,128,32,32,8,16,256,128,0.3696640133857727,39044172
4,2,64,128,16,32,2,8,256,256,1.3209600448608398,39046331
4,1,64,128,32,32,8,16,256,256,0.2488320022821426,39047933
4,2,64,128,32,32,8,16,256,256,0.3031040132045746,39049609
4,2,64,128,32,16,8,16,256,512,0.2856959998607635,39051253
4,2,64,128,32,32,8,16,128,256,0.3696640133857727,39052828
4,2,64,128,16,32,8,16,256,256,0.8253440260887146,39054366
4,2,64,128,32,16,8,16,256,256,0.2437119930982589,39055900
4,2,64,256,16,32,8,16,256,256,0.8376320004463196,39057446
4,4,64,512,16,32,4,16,256,256,0.4659200012683868,39058939
4,4,64,128,32,16,8,4,256,256,0.3205119967460632,39060731
4,1,64,256,16,32,4,16,256,256,0.4423680007457733,39062887
4,2,64,128,32,16,8,32,256,256,0.4188160002231598,39065092
4,2,64,128,32,16,8,32,256,256,0.4188160002231598,39066865
4,2,64,128,32,16,8,16,256,256,0.2437119930982589,39068765
4,2,128,64,16,16,8,16,128,256,1.884160041809082,39070431
