tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,timestamp
128,16,8,4,31.56377601623535,True,1027087
1024,1,1024,1,613.7979125976562,True,1029336
1024,1024,64,16,1.129472017288208,True,1032141
64,1024,8,4,0.8652799725532532,True,1034834
128,1024,16,4,1.1909120082855225,True,1037634
128,1024,8,4,0.8970239758491516,True,1040947
64,512,8,4,1.4172159433364868,True,1043244
256,1024,8,4,0.9256960153579712,True,1045458
64,64,8,4,8.530943870544434,True,1048964
512,1024,1,8,3.4263041019439697,True,1052381
64,128,8,4,4.494336128234863,True,1054740
512,1024,8,4,0.9615359902381896,True,1056879
64,512,8,4,1.4172159433364868,True,1059545
256,1024,8,4,0.9256960153579712,True,1061943
128,1024,8,4,0.8970239758491516,True,1064340
256,1024,8,4,0.9277439713478088,True,1066944
256,256,1,8,8.459263801574707,True,1070059
64,1024,2,2,3.2071681022644043,True,1072756
16,2,1,2,891.863037109375,True,1075130
32,512,2,2,4.568064212799072,True,1077762
128,1024,16,4,1.1919360160827637,True,1080353
32,1024,4,4,1.5923199653625488,True,1083397
128,1024,16,4,1.1919360160827637,True,1086043
256,1024,8,4,0.9256960153579712,True,1088822
64,512,8,1,2.437119960784912,True,1091494
1024,1024,8,4,0.993279993534088,True,1094565
512,128,512,1,6.292479991912842,True,1097524
256,1024,8,4,0.92876797914505,True,1100224
128,1024,8,4,0.899071991443634,True,1102548
64,1024,8,4,0.8663039803504944,True,1104632
64,512,8,1,2.437119960784912,True,1106989
256,1024,8,4,0.9256960153579712,True,1109500
256,1024,8,4,0.9226239919662476,True,1112176
256,1024,8,4,0.9297919869422911,True,1114734
256,1024,8,4,0.9256960153579712,True,1116851
256,4,8,4,124.36070251464844,True,1118430
2,256,1,256,141.27410888671875,True,1120199
512,1024,512,1,2.61734390258789,True,1122486
64,16,64,8,50.72691345214844,True,1128041
64,256,8,4,2.471935987472534,True,1130944
64,1024,8,8,1.136639952659607,True,1133489
64,512,8,8,1.9343359470367432,True,1135973
64,1024,8,4,0.8663039803504944,True,1139235
64,16,8,4,31.690752029418945,True,1143995
256,1024,128,2,1.1857919692993164,True,1146594
64,1024,8,4,0.8663039803504944,True,1148796
64,64,8,16,12.543999671936035,True,1151726
64,1024,8,2,1.415168046951294,True,1153962
64,1024,4,4,1.4663679599761963,True,1156466
64,512,8,1,2.436095952987671,True,1159292
64,512,8,4,1.4172159433364868,True,1162485
256,1024,8,4,0.9297919869422911,True,1165105
1024,4,256,2,187.13497924804688,True,1166872
8,4,8,4,1016.61181640625,True,1169700
512,1,128,1,611.4774780273438,True,1172200
64,1024,8,4,0.8652799725532532,True,1174470
64,512,8,4,1.4172159433364868,True,1176658
64,128,8,4,4.494336128234863,True,1179140
64,256,8,4,2.470911979675293,True,1181637
256,1024,8,4,0.9256960153579712,True,1183912
64,64,8,4,8.530943870544434,True,1186932
64,1024,4,4,1.4673919677734375,True,1189534
128,1024,16,4,1.1909120082855225,True,1191770
256,1024,8,4,0.9267200231552124,True,1194308
128,1024,32,2,1.1673599481582642,True,1196636
64,1024,4,4,1.4673919677734375,True,1199443
64,512,8,2,1.481727957725525,True,1201902
256,1024,8,4,0.9236479997634888,True,1204837
1024,1,1024,1,613.0421752929688,True,1206971
8,4,8,2,972.2152709960938,True,1209397
64,1,32,1,450.7975769042969,True,1211278
256,1024,8,4,0.9277439713478088,True,1213756
64,1024,8,2,1.4141440391540527,True,1216249
64,512,8,4,1.4172159433364868,True,1218990
64,1024,8,4,0.8663039803504944,True,1221308
64,1024,8,8,1.136639952659607,True,1223709
64,1024,8,8,1.136639952659607,True,1226338
128,1024,8,16,1.1571199893951416,True,1228719
1024,1024,16,4,1.2513279914855957,True,1231035
256,1024,8,4,0.92876797914505,True,1233482
64,1024,8,4,0.8652799725532532,True,1235854
32,1024,8,4,1.528831958770752,True,1238741
128,512,8,4,1.4469120502471924,True,1240919
256,1024,8,4,0.9267200231552124,True,1243108
256,1024,8,4,0.92467200756073,True,1245273
256,1024,8,4,0.9277439713478088,True,1247712
256,1024,8,4,0.9267200231552124,True,1250236
64,16,4,16,48.32255935668945,True,1255271
1024,2,512,2,374.12353515625,True,1257130
8,512,8,2,9.582592010498049,True,1260490
64,512,32,8,1.9804160594940183,True,1263457
64,512,8,4,1.4172159433364868,True,1265955
64,1024,8,2,1.4141440391540527,True,1268319
64,1024,8,4,0.8652799725532532,True,1270857
64,512,8,4,1.4172159433364868,True,1273995
32,256,8,4,4.642816066741943,True,1276461
64,1024,4,4,1.4673919677734375,True,1278992
256,1024,128,2,1.1868159770965576,True,1281626
64,1024,8,4,0.8663039803504944,True,1284305
64,1024,8,4,0.8652799725532532,True,1286783
128,1024,8,4,0.899071991443634,True,1289204
128,512,8,2,1.5892479419708252,True,1291948
64,1024,8,16,1.1386879682540894,True,1294422
256,1024,8,4,0.9267200231552124,True,1296695
256,2,256,2,374.2535705566406,True,1298683
128,4,128,4,196.26495361328125,True,1300346
64,16,1,8,30.2161922454834,True,1304369
256,1024,8,4,0.9256960153579712,True,1306980
128,512,32,2,2.037760019302368,True,1309555
32,1024,1,8,4.637695789337158,True,1313007
64,1024,8,4,0.8652799725532532,True,1315383
256,1024,8,4,0.92876797914505,True,1317630
128,128,32,2,6.372352123260498,True,1320427
64,1024,8,128,1.2042239904403689,True,1322926
16,16,8,4,126.7435531616211,True,1324782
256,512,8,4,1.4499839544296265,True,1327002
64,512,8,4,1.4172159433364868,True,1329184
64,1024,8,2,1.4141440391540527,True,1331767
64,1024,8,4,0.8652799725532532,True,1334307
256,1024,8,4,0.9277439713478088,True,1336790
64,128,16,4,6.486015796661377,True,1339849
128,64,64,16,14.124032020568848,True,1342780
256,256,8,2,2.570240020751953,True,1345254
256,1024,8,4,0.9277439713478088,True,1347779
256,1024,8,4,0.92467200756073,True,1350197
256,1024,8,4,0.92467200756073,True,1352755
256,1024,8,4,0.9236479997634888,True,1354953
32,64,32,32,27.993087768554688,True,1358441
256,64,256,2,12.15180778503418,True,1361472
1024,256,512,1,3.397631883621216,True,1364227
1024,1,1024,1,612.2752075195312,True,1366387
256,1024,8,2,1.5032320022583008,True,1369189
256,1024,8,4,0.9236479997634888,True,1371487
64,1024,8,4,0.8652799725532532,True,1374557
64,1024,8,4,0.8652799725532532,True,1377459
16,1024,8,4,2.8323841094970703,True,1379773
32,1024,2,4,2.732032060623169,True,1382519
64,1024,8,4,0.8663039803504944,True,1384968
128,1024,8,4,0.8980479836463928,True,1387613
1024,16,8,4,33.438720703125,True,1391854
16,1024,4,4,2.8426239490509038,True,1394340
1024,16,64,4,49.16223907470703,True,1399576
512,32,16,4,24.359935760498047,True,1403612
256,1024,8,4,0.9277439713478088,True,1405793
64,1024,8,4,0.8652799725532532,True,1408312
512,1024,8,8,1.183743953704834,True,1410592
64,1024,8,4,0.8663039803504944,True,1412998
256,1024,8,4,0.9267200231552124,True,1415360
8,32,4,8,131.0873565673828,True,1417061
16,128,1,8,16.880640029907227,True,1420115
128,32,1,4,15.42246437072754,True,1423267
256,1024,8,4,0.9236479997634888,True,1426047
2,4,1,4,3728.2548828125,True,1431348
512,1024,512,1,2.61734390258789,True,1434320
256,512,1,128,4.674560070037842,True,1437351
256,1024,8,4,0.92467200756073,True,1439960
64,1024,8,2,1.4141440391540527,True,1442247
64,1024,8,4,0.8652799725532532,True,1444937
64,1024,4,4,1.4663679599761963,True,1447654
64,2,1,1,153.07264709472656,True,1449501
512,128,1,128,8.714240074157715,True,1452689
64,512,1,4,3.858432054519653,True,1455786
512,64,64,4,12.578816413879396,True,1459094
256,1024,8,4,0.92467200756073,True,1461699
256,1024,8,4,0.9267200231552124,True,1464391
256,1024,8,4,0.9236479997634888,True,1466948
256,1024,8,4,0.9256960153579712,True,1469670
1024,32,8,4,16.529407501220703,True,1473188
1024,1024,1024,1,4.627456188201904,True,1476443
64,4,4,1,93.35603332519533,True,1478216
512,8,128,8,105.35628509521484,True,1480202
256,1024,8,4,0.9277439713478088,True,1482809
1024,512,1024,1,4.6141438484191895,True,1485774
64,1024,8,4,0.8652799725532532,True,1488330
512,512,8,4,1.4796799421310425,True,1491461
256,1024,8,4,0.9277439713478088,True,1494323
128,1024,64,16,1.1325440406799316,True,1497327
64,8,32,8,97.1847686767578,True,1499242
1024,32,256,4,25.172992706298828,True,1503164
256,1024,8,4,0.9267200231552124,True,1505992
256,1024,8,4,0.9267200231552124,True,1508806
256,1024,8,4,0.9256960153579712,True,1511669
256,1024,8,4,0.92876797914505,True,1514671
64,1024,8,4,0.8652799725532532,True,1517043
8,1024,8,4,5.410816192626953,True,1520085
8,1024,8,4,5.411839962005615,True,1522795
64,256,8,4,2.471935987472534,True,1525520
64,128,64,8,6.842368125915527,True,1528542
64,16,1,8,30.21721649169922,True,1532273
1024,128,16,4,6.482944011688232,True,1535083
1024,64,64,16,14.228480339050291,True,1538471
256,1024,8,4,0.9277439713478088,True,1540742
64,1024,4,4,1.4673919677734375,True,1543193
64,1024,8,4,0.8652799725532532,True,1545534
1024,256,128,8,3.67411208152771,True,1548517
256,1024,8,4,0.9267200231552124,True,1550798
512,256,8,4,2.4924159049987797,True,1553259
32,1,32,1,910.1567993164062,True,1556473
1024,32,256,2,23.760896682739254,True,1560587
256,1024,8,4,0.92467200756073,True,1563169
64,1024,8,2,1.4141440391540527,True,1566270
64,128,8,64,7.075839996337891,True,1569507
128,1024,16,4,1.1909120082855225,True,1571800
256,1024,8,4,0.9256960153579712,True,1574075
1024,2,512,1,318.3892517089844,True,1575781
1024,32,512,2,24.019968032836918,True,1579030
512,512,64,2,2.08076810836792,True,1581196
256,1024,8,4,0.9267200231552124,True,1583902
1024,512,1024,1,4.613120079040527,True,1587064
8,1024,8,4,5.412864208221436,True,1589634
64,1024,8,8,1.136639952659607,True,1592477
256,1024,8,4,0.92876797914505,True,1595239
256,1024,8,4,0.9297919869422911,True,1597612
256,1024,8,4,0.9256960153579712,True,1600078
256,1024,8,4,0.9256960153579712,True,1602906
16,4,4,4,480.0901184082031,True,1605072
1024,512,64,1,2.0295679569244385,True,1607745
512,4,16,4,187.58963012695312,True,1609532
32,1024,16,1,1.5882240533828735,True,1612088
128,1024,8,4,0.899071991443634,True,1615019
64,1024,8,128,1.20524799823761,True,1617516
256,1024,8,4,0.92467200756073,True,1619789
512,512,512,1,3.324928045272827,True,1622587
64,1024,8,32,1.1673599481582642,True,1625101
64,512,8,1,2.437119960784912,True,1628091
128,4,8,4,124.3842544555664,True,1630031
128,1024,8,4,0.8980479836463928,True,1632411
512,1024,256,2,1.9333120584487915,True,1635119
64,32,8,4,15.938559532165527,True,1638259
64,1024,8,2,1.4141440391540527,True,1640496
256,1024,8,32,1.222656011581421,True,1643352
256,1024,8,4,0.9277439713478088,True,1646333
16,512,1,512,15.653887748718262,True,1649768
512,32,1,4,15.522815704345703,True,1652963
256,256,4,256,4.414463996887207,True,1656167
256,1024,8,4,0.9277439713478088,True,1659015
1024,1024,1024,1,4.627456188201904,True,1662495
2,512,1,32,44.20710372924805,True,1667473
512,256,256,1,3.398655891418457,True,1670015
32,1024,2,4,2.73305606842041,True,1672594
64,4,8,4,124.38835144042967,True,1674337
1024,256,1024,1,5.938176155090332,True,1677442
64,1024,8,4,0.8652799725532532,True,1680377
256,1024,8,4,0.9267200231552124,True,1683230
128,1024,16,4,1.1909120082855225,True,1685822
256,512,256,1,1.913856029510498,True,1688702
1024,1024,8,4,0.993279993534088,True,1691487
256,1024,8,4,0.9256960153579712,True,1694358
512,128,1,128,8.71116828918457,True,1697652
64,1024,1,4,3.3955841064453125,True,1700516
1024,64,1024,1,11.16057586669922,True,1703901
256,1024,8,4,0.92467200756073,True,1706442
64,64,8,4,8.531968116760254,True,1709116
1024,1024,8,4,0.989184021949768,True,1711631
256,1024,128,2,1.1857919692993164,True,1714146
256,1024,8,4,0.9256960153579712,True,1716461
1024,16,8,2,30.618623733520508,True,1720594
1024,256,1024,1,5.935103893280029,True,1723238
64,1024,4,8,0.9041919708251952,True,1725522
256,1024,8,4,0.9256960153579712,True,1727885
64,1024,4,16,1.1632640361785889,True,1730529
512,512,512,1,3.324928045272827,True,1733593
64,1024,8,4,0.8652799725532532,True,1736263
256,1024,8,4,0.9267200231552124,True,1739458
512,2,256,2,374.1829223632813,True,1741810
